"ID","Name","City","Country","Customer","Email","Fax","Is a Company","Mobile","Phone","Internal Reference","State","Street","Street2","Supplier","Zip","Account Payable","Account Receivable","NPWP","Kecamatan","Kelurahan","Kota/Kab"
"partner_21","MUSTIKA BATU GILANG","Surabaya","Indonesia","FALSE","mustikabatugilang@gmail.com","3592620","TRUE","5712363","6470808","M-00007",,"Hasanudin",,"TRUE","32051","2-110001","1-121001",,,,"KOTA SURABAYA"
"partner_22","NATALIA CV","Surabaya","Indonesia","FALSE","nataliacv@gmail.com","4946511","TRUE","7681678","2377649","N-00001",,"Teuku Umar",,"FALSE","59994","2-110001","1-121001",,,,"KOTA SURABAYA"
"partner_23","PRIMA MULTI MULYA CV","Jakarta","Indonesia","FALSE","primamultimulyacv@gmail.com","2769466","TRUE","9352811","4119116","P-00001",,"Sisingamangaraja",,"FALSE","22558","2-110001","1-121001",,,,"KOTA JAKARTA PUSAT"
"partner_24","RATNA GENERAL SUPPLIER","Jakarta","Indonesia","FALSE","ratnageneralsupplier@gmail.com","6685214","TRUE","5844248","4619962","R-00001",,"Ahmad Yani",,"FALSE","30344","2-110001","1-121001",,,,"KOTA JAKARTA PUSAT"
"partner_25","SELARAS BAN","Jakarta","Indonesia","FALSE","selarasban@gmail.com","7279806","TRUE","6495099","3213481","S-00001",,"Sudirman",,"FALSE","42258","2-110001","1-121001",,,,"KOTA JAKARTA PUSAT"
"partner_26","SINAR HARAPAN","Jakarta","Indonesia","FALSE","sinarharapan@gmail.com","5177328","FALSE","8185759","7018875","S-00002",,"Diponegoro",,"FALSE","22020","2-110001","1-121001",,,,"KOTA JAKARTA BARAT"
"partner_27","SINAR MAROS","Jakarta","Indonesia","FALSE","sinarmaros@gmail.com","2082701","FALSE","5308242","3991223","S-00003",,"Tendean",,"FALSE","22100","2-110001","1-121001",,,,"KOTA JAKARTA BARAT"
"partner_28","SOMALI","Jakarta","Indonesia","FALSE","somali@gmail.com","2396159","FALSE","8340223","2116264","S-00004",,"Juanda",,"FALSE","33339","2-110001","1-121001",,,,"KOTA JAKARTA UTARA"
"partner_29","SUKSES ABADI","Jakarta","Indonesia","FALSE","suksesabadi@gmail.com","6602284","TRUE","9550041","5932104","S-00005",,"Imam Bonjol",,"FALSE","44098","2-110001","1-121001",,,,"KOTA JAKARTA UTARA"
"partner_30","TIMUR AUDIO","Jakarta","Indonesia","FALSE","timuraudio@gmail.com","6320536","TRUE","5538755","7661581","T-00001",,"Hasanudin",,"FALSE","52466","2-110001","1-121001",,,,"KOTA JAKARTA TIMUR"
"partner_31","TOKO MURIA","Jakarta","Indonesia","FALSE","tokomuria@gmail.com","4788951","TRUE","8396918","6260526","T-00002",,"Teuku Umar",,"FALSE","52365","2-110001","1-121001",,,,"KOTA JAKARTA SELATAN"
"partner_32","TOKO USAHA BARU","Jakarta","Indonesia","FALSE","tokousahabaru@gmail.com","3789998","TRUE","1573458","2047710","T-00003",,"Sudirman",,"FALSE","33750","2-110001","1-121001","44.912.732.3-604.000",,,"KOTA JAKARTA SELATAN"
